Title,Author,Genre,Description,Year,Average Rating,Number of Pages,Range
100 Love Sonnets,Pablo Neruda,Poetry,Poems explore the depths of the distinguished Chilean writer's love for his wife,1986,4.4,232,201 - 400
1635: Cannon Law,Eric Flint,Fiction,"In Rome in 1635, Grantville's diplomatic team, headed by Sharon Nichols, has come to a standstill in their negotiations with Pope Urban VIII, whle an ambitious Cardinal Borja launches his sinister schemes, mysterious agitators are stirring up trouble, Spain's armies prepare for an attack on the Kingdom of Naples, and Frank Stone finds himself in the middle of the trouble.",2006,3.75,420,401 - 600
18 Best Stories,Edgar Allan Poe,Classics,The terror and horror that typify Poe's fiction are evidenced in such tales as The Fall of the House of Usher and The Pit and the Pendulum,1965,4.02,288,201 - 400
"20,000 Leagues Under the Sea",Jules Verne,Fiction,The abridged adventures of a French professor and his two companions as they sail above and below the world's oceans as prisoners on the fabulous electric submarine of the deranged Captain Nemo.,2004,3.76,48,<201
22 Indigo Place,Sandra Brown,Fiction,"When insurmountable debts force Laura Nolan to put 22 Indigo Place, her ancestral home, on the market, she is shocked when the most promising buyer turns out to be James Paden, the gorgeous class cut-up from her school days",1991,3.63,200,<201
3rd Degree,James Patterson,Fiction,"In James Patterson's shockingly suspenseful #1 New York Times bestseller, one member of the Women's Murder Club is hiding a secret so dangerous that it could destroy them all. One of James Patterson's best loved heroines is about to die. Detective Lindsay Boxer is jogging along a beautiful San Francisco street when a fiery explosion rips through the neighborhood. When Lindsay plunges inside to search for survivors, she finds three people dead. A lost infant and a mysterious message at the scene leaves Lindsay and the San Francisco Police Department completely baffled. Then a prominent businessman is found murdered under bizarre circumstances, with another mysterious message left behind by the killer. Lindsay asks her friends Claire Washburn of the medical examiner's office, Assistant D.A. Jill Bernhardt, and Chronicle reporter Cindy Thomas to help her figure out who is committing these murders-and why they are intent on killing someone every three days. Even more terrifying, the killer has targeted one of the four friends who call themselves the Women's Murder Club. Which one will it be?",2005,4.01,339,201 - 400
50 Great Curries of India 10th Anniversary Ed.,Camellia Panjabi,Cooking,"Collects various dishes from all over India - from the classic Goa Lamb Vindaloo to the exotic Gujarat Mango and Yogurt Curry. This book features: the philosophy of Indian food; what exactly is a curry; using spices, herbs and chillies; and, planning an Indian meal and suggested menus. The secret to creating authentic Indian curries at home lies within these fabulous pages. A feast for the senses, this mini format of 50 Great Curries of India is the world's best-selling curry book. It explains how to add taste, aroma and colour to create that perfect curry. Dishes are collected from all over India - from the classic Goa Lamb Vindaloo to the more exotic Gujarat Mango and Yogurt Curry and all are accompanied by tantalising photography to inspire and excite. Other features of the book include the philosophy of Indian food, using spices, herbs and chillies, planning an Indian meal and suggested menus. This revised edition comes with more recipes than ever and full colour photography throughout.",2005,4.17,224,201 - 400
7 Steps to Midnight,Richard Matheson,Fiction,"After his identity and life is stolen by a mysterious imposter, mathematician Chris Barton must elude killers as he follows a series of cryptic messages that lead him around the world to a rendezvous with an enigmatic woman. By the author of Somewhere in Time. Reprint. 20,000 first printing.",2003,3.48,320,201 - 400
A Bend in the River,V. S. Naipaul,Literary Fiction,"`Brilliant and terrifying`Observer I had to be the man who was doing well and more than well, the man whose drab shop concealed some bigger operation that made millions. I had to be the man who had planned it all, who had come to the destroyed town at the bend in the river because he had foreseen the rich future. `Salim, the narrator, is a young man from an Indian family of traders long resident on the coast of Centeral Africa. Salim has left the coast to make his way in the interior, there to take on a small trading shop of this and that, sudries, sold to the natives. The place is “a bend in the river”; it is Africa. The time is post-colonial, the time of Independence. The Europeans have withdrawn or been forced to withdraw and the scene is one of chaos, violent change, warring tribes, ignorance, isolation, poverty and a lack of prepartion for the modern world they have entered, or partially assumed as a sort of decoration. It is a story of historical upheaval and social breakdown. Naipaul has fashioned a work of intense imaginative force. It is a haunting creation, rich with incident and human bafflement, played out in an immense detail of landscape rendered with a poignant brilliance.`Elizabeth Hardwick `Always a master of fictional landscape, Naipaul here shows, in his variety of human examples and in his search for underlying social causes, a Tolstoyan spirit`John Updike",2002,3.77,326,201 - 400
A Case of Need,Michael Crichton,Fiction,"When a young woman dies mysteriously on an operating table and her physician is accused of murder, a colleague's investigation takes him from a deadly sex and drug underworld to the heights of Boston society as he searches for the truth. A first novel. Reissue.",2003,3.7,416,401 - 600
